State,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
NorthDakota,40.6,8.5,14.1,25.8,41.8,54.1,63.4,69.3,67.8,57.1,44.6,27.7,14.2
Minnesota,41.6,9.3,14.4,27.1,42.7,55.3,64.6,69.5,67.4,58.1,46,29.8,15.2
Maine,42.6,16,18.8,28.5,40.7,52.3,61.6,66.9,65.3,57.1,46.1,35.3,22.5
Vermont,42.7,16.3,18.6,28.6,41.4,53.5,62.5,67.1,64.1,57.3,45.9,34.8,22.3
Montana,42.8,19.3,24,31.8,42.3,51.7,59.6,66.7,65.3,55.2,44.5,31.1,22
Wyoming,42.8,20.4,24.3,31.6,41.2,50.9,60,67.6,65.9,56.1,44.6,31.3,22.1
Wisconsin,43.9,15,19,30,44,55.5,65,69.7,67.8,59.4,47.8,33.8,20.4
NewHampshire,44,18.5,20.9,30.2,42.3,53.8,63.1,67.7,66,58,46.7,36.2,24.2
Idaho,45.1,23.9,28.4,35.6,44,52.4,59.8,67.6,66.2,57.2,46.4,34,25.4
Michigan,45.2,20.5,21.9,30.9,43.4,54.8,64.4,68.9,67.3,59.9,48.6,36.8,25.7
Colorado,45.5,24.4,28,35.1,43.4,52.8,62.1,68,66.2,58.2,47.1,34.6,25.7
SouthDakota,45.5,17.3,21.8,31.6,45.3,56.4,66,72.7,71,60.8,48.2,33,21.2
NewYork,46.9,22.7,24.5,33.2,45.2,56.2,65.3,69.8,68,60.6,49.8,39.3,28
Massachusetts,48,25.2,27,35,45.6,56.2,65.1,70.4,68.8,61.3,50.5,40.8,29.9
Iowa,48.3,19.1,23.6,35.4,49,60.4,69.8,73.7,72,63.4,52,36.9,23.7
Utah,48.5,25.9,30.7,38.7,46.8,55.9,65,72.6,70.5,61.5,49.8,36.9,27.5
Washington,48.8,33,37,41.4,47.6,54.2,59.6,65.4,65,58.7,49.6,40,34.1
Connecticut,49.1,26.3,28.3,36.4,47.2,57.6,66.4,71.5,69.9,62.3,51.3,41.6,31
Oregon,49.2,34,37.5,41.9,47.1,53.5,59.7,66.1,65.2,59,50.3,40.7,34.6
Nebraska,49.5,23.7,27.9,37.2,48.8,59.4,69.3,75.2,73.1,63.6,51.5,37.1,26.4
Pennsylvania,49.5,26.7,28.6,37.2,48.4,58.5,67,71.4,69.9,62.8,51.6,41.3,30.9
RhodeIsland,50.1,29.2,31,37.3,47,56.4,65.4,71,70.1,63.4,53.1,43.9,33.7
Ohio,51,27.5,29.9,38.9,50.1,60.3,69.3,73.1,71.2,64.5,53.3,42,31.6
Nevada,51.3,31.5,36.1,42,48.8,57.5,66.1,73.8,71.9,63.5,52.4,40.3,32.3
WestVirginia,51.5,30.9,33,41,51.1,60,67.8,71.4,70.8,64.5,53.4,43.1,33.7
Indiana,51.8,27.1,30.1,39.9,51.4,61.6,70.8,74.4,72.7,65.9,54.3,42.1,30.9
Illinois,52.2,26.1,30,40.5,52.3,62.5,71.8,75.5,73.9,66.3,54.7,42.2,30.2
NewJersey,52.3,30.4,32,40.2,50.4,60.4,69.4,74.3,72.6,65.7,54.7,44.7,34.4
Maryland,53.2,33,34.5,42.9,53.1,62.6,70.5,74.7,72.4,66.1,55.3,45.1,35.9
NewMexico,53.2,34.1,38,43.8,51.9,60.5,69.5,73.1,71.2,64.9,54.5,42.7,34.9
Virginia,54.1,35.1,37.1,44.8,54.3,62.9,71.1,74.5,73.7,67.4,56.7,46.9,37.7
Delaware,54.4,33.2,34.9,42.8,52.7,62.5,71.5,76.1,74.4,67.9,56.9,46.5,36.7
Kansas,54.7,29.6,34.1,43.4,54.3,63.9,73.5,79,77.6,68.9,57,43,32.5
Missouri,55,30.1,34.5,44.4,55.4,64.4,73.3,77.8,76.4,68.4,57.3,44.7,33.8
Kentucky,55.9,33.6,36.7,45.9,55.8,64.7,72.9,76.4,75.3,68.8,57.4,46.3,36.9
Tennessee,57.6,37.1,40.3,48.4,57.9,65.8,73.5,76.8,76.1,70.1,58.9,48.5,39.6
NorthCarolina,58.4,40,42.2,49.7,58.1,66.1,73.4,76.7,75.7,70,59.7,50.4,42.1
California,58.6,45.5,48.3,51.2,55.6,61.5,67.6,72.9,72.4,68.5,61,52,45.9
Oklahoma,60.2,37.3,41.9,50,60.1,68.5,77.2,81.9,80.9,73.3,61.9,49.4,39.7
Alabama,60.5,44.5,47.1,54,62,69.7,75.9,79.4,78.5,73.6,62.4,53.1,46.6
Arkansas,60.5,39.1,43.1,51.4,60.5,68.9,76.7,80.4,79.7,72.5,61.6,50.7,41.3
Arizona,61.2,43.1,46.7,51.6,58.6,66.9,76,81,79.1,73.6,62.9,51.2,43.6
SouthCarolina,62.4,44.3,47,54,62,70,77,79.8,78.8,73.5,63.3,53.9,46.1
Mississippi,63,45.3,48.4,55.8,63.6,71.2,77.8,80.3,79.3,74.2,64.7,54.2,46.8
Georgia,63.3,46.2,48.9,55.8,63.2,70.6,77.5,79.9,79.3,74.5,64.3,55.2,47.7
Texas,65.6,46.7,50.5,57.7,65.8,73.3,80,82.8,82.4,76.5,67.1,56.4,48.3
Louisiana,66.6,49.2,52.4,59.2,66.5,73.8,79.8,82,81.8,77.2,67.6,58.2,51.1
Florida,71.8,59.9,61.9,66,70.7,76.2,80.3,81.8,81.9,80.1,74.3,67.1,61.6
